"Название";"Цена";"Двигатель";"Комплектация";"Коробка передач";"Мощность";"Поколение";"Привод";"Пробег";"Руль";"Тип кузова";"Цвет";"Особые отметки";"url"
"Продажа Toyota RAV4, 1996 год в Иркутске";"725000.0";"бензин, 2.0 л";"2.0 J E specification";"АКПП";"135 л.с.";"1 поколение";"4WD";"223000.0";"правый";"джип/suv 3 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/726192121.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1608000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"234400.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/664262519.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2450000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"передний";"216000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53361093.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1570000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"288000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/444037390.html"
"Продажа Toyota RAV4, 2004 год в Иркутске";"930000.0";"бензин, 1.8 л";"1.8 L X G package";"АКПП";"125 л.с.";"2 поколение, рестайлинг";"передний";"270000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/661771352.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1450000.0";"бензин, 2.0 л";"2.0 АТ Стандарт";"АКПП";"152 л.с.";"3 поколение, рестайлинг";"4WD";"166000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/872303583.html"
"Продажа Toyota RAV4, 1999 год в Иркутске";"485000.0";"бензин, 2.0 л";"";"механика";"135 л.с.";"1 поколение, рестайлинг";"4WD";"220000.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/257280386.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"1790000.0";"бензин, 2.0 л";"";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"196000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/405793176.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1800000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"205000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/738717452.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1685000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"передний";"95000.0";"левый";"джип/suv 5 дв.";"серебристый";"требуется ремонт или не на ходу";"https://auto.drom.ru/irkutsk/toyota/rav4/806153534.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1750000.0";"бензин, 2.0 л";"2.0 CVT 4WD Life";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"215000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53582933.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"1720000.0";"бензин, 2.4 л";"2.4 AT Long Комфорт Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"263000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/654983176.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1165000.0";"бензин, 2.0 л";"2.0 AT Sol";"АКПП";"152 л.с.";"3 поколение";"4WD";"145000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/550485801.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1400000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"300000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/627489832.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1190000.0";"бензин, 2.0 л";"2.0 AT Executive";"АКПП";"152 л.с.";"3 поколение";"4WD";"216000.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/140417656.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"3050000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Safety";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"85000.0";"левый";"джип/suv 5 дв.";"бордовый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/565858848.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3290000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"149 л.с.";"5 поколение";"4WD";"106000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/253139898.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"3085000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"85000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/746892065.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2050000.0";"бензин, 2.0 л";"2.0 MT 4WD Стандарт";"механика";"146 л.с.";"4 поколение";"4WD";"148000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/181456507.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"2000000.0";"бензин, 2.0 л";"2.0 CVT Элеганс";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"205.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/101237983.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3600000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"58000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53471652.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1730000.0";"бензин, 2.0 л";"2.0 CVT Престиж";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"145000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/178420912.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"4200000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"49600.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/694979815.html"
"Продажа Toyota RAV4, 2005 год в Иркутске";"880000.0";"бензин, 2.4 л";"2.4 AT L";"АКПП";"161 л.с.";"2 поколение, рестайлинг";"4WD";"215000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/858174064.html"
"Продажа Toyota RAV4, 2004 год в Иркутске";"930000.0";"бензин, 2.0 л";"2.0 AT 4WD Executive";"АКПП";"150 л.с.";"2 поколение, рестайлинг";"4WD";"110000.0";"левый";"джип/suv 5 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/893961797.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2132000.0";"бензин, 2.0 л";"2.0 CVT 4WD Элеганс Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"52000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/231146061.html"
"Продажа Toyota RAV4, 1995 год в Иркутске";"475000.0";"бензин, 2.0 л";"2.0 L V E specification";"АКПП";"135 л.с.";"1 поколение";"4WD";"250.0";"правый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/147950982.html"
