"category";"name";"path";"url"
"People";"Serious Young Man with Colorful Scarf";"People/full/3e64bdc26c988c7782aaf06a7f4a9a2470e73b26.jpg";"https://assets.lummi.ai/assets/QmcythgScdMvfSneMJX2DcgMNAKLUxVeBMsNJk16e1TUPp?auto=format&w=1500"
"Thanksgiving";"Autumn Harvest Glow";"Thanksgiving/full/454b3092236852a1cc3a267a385b3d594fd5da3d.jpg";"https://assets.lummi.ai/assets/QmcV2dx6ACY8rcNZTNKn56fnWuc2A13ERunyydMQzFnX9e?auto=format&w=1500"
"Furniture";"Modern Sculptural Chair";"Furniture/full/fbf0e574586a11eccc0f92c479f391a80c15fc4e.jpg";"https://assets.lummi.ai/assets/QmV1iYZktT8pNHWiqAaUdwnoZ6LjGq96zH8d5PraGvPZRm?auto=format&w=1500"
"Sustainability";"Serene Still Life of Wooden Bowls";"Sustainability/full/b71c632e4e2af67df52658056afcd7cfcac083ae.jpg";"https://assets.lummi.ai/assets/QmNW7Yrt6DACPU1jDkHhZtDpdZj7BBrw1QHoQYrCNkeA2t?auto=format&w=1500"
"Medical";"Smiling Male Doctor Portrait";"Medical/full/a53015331a179207b2bc8d0fd0fe9f5d33a1b44e.jpg";"https://assets.lummi.ai/assets/QmQAJJ8ANE8DRrBtCzSH6rDfJ199Ufn5gUdpV9ALHFbrvL?auto=format&w=1500"
"Kids";"Young Boy Playing Arcade Game";"Kids/full/f754a7b9ea97775d2679a4ec09782f5b6e144624.jpg";"https://assets.lummi.ai/assets/QmbCdpjhcVjxqt71SjnaCBtvagzsmkiGipuAAcL2wXjrJW?auto=format&w=1500"
"Editorial";"Modern Elegance Portrait";"Editorial/full/40afefe3565c2016b0b0a21f715b67b2eccf97f3.jpg";"https://assets.lummi.ai/assets/Qmd8SAhpwFe4W3fVWnFX5QaKc2chrQz8ufVNyzAqa7R5KR?auto=format&w=1500"
"Family";"Warm Embrace";"Family/full/29c8595561248a71a8af6ee69e4f8b56f098468b.jpg";"https://assets.lummi.ai/assets/QmddQhxqAHatuDh1SYXp3ufJ5t5LFdG9jCtoxav4t3wqov?auto=format&w=1500"
"Avatars";"Casual Creative Professional";"Avatars/full/76799c3b15b80839ea2ea6f25c87e71c69190bd9.jpg";"https://assets.lummi.ai/assets/Qma3o7fnNXnWVq5q7ro5A5vkgnDQLWeZLCm9CiU5rN1xxV?auto=format&w=1500"
"People Devices";"Technologically Advanced Credit Card";"People_Devices/full/795afb69ae52df1918081c1317d6b4ac9787dcf7.jpg";"https://assets.lummi.ai/assets/QmaaNzdrjEJ5nvmw36tPQUmm452EMUFV5MLDgcAFZZ7hnW?auto=format&w=1500"
"Athletic Gear";"Urban Tranquility: Coordinated Casuals";"Athletic_Gear/full/b8c234747435a5b31ca21335f4c76e3369d279b2.jpg";"https://assets.lummi.ai/assets/Qma8BbGNLEFVLQcNqytoUm7K87KvePGS5mtrtz6fS56D4k?auto=format&w=1500"
"Vacation";"Warm Festive Glow";"Vacation/full/2f428acbc364307084de976497d7a6cb603995d7.jpg";"https://assets.lummi.ai/assets/QmXE18ap8xraBRAR3G78VnFCtw3jHPtptBUDcVzna1a4N4?auto=format&w=1500"
"Flowers";"Delicate Peach Flower Close-Up";"Flowers/full/4ba860d368a02c1c508e72f34b4a8882e9a2e65a.jpg";"https://assets.lummi.ai/assets/QmY1uPVKSxVibZ3ZWyTWARGBuWAtSSnXJuQuWRGiD7VLuJ?auto=format&w=1500"
"Wildlife Photography";"Robin on Railing";"Wildlife_Photography/full/19783ccca8a60319e032fd0d89a70ffc56275ed3.jpg";"https://assets.lummi.ai/assets/QmXbiyuQ4i7twY8oBmcR1S4hsWrzsgSd7AUtT7tErC6cb6?auto=format&w=1500"
